CODICE_VIA,STATO,TIPO,DENOMINAZIONE,DATA_INTITOLAZIONE,ANNO_SOPPRESSIONE,DESCRITTIVO,ANNCSU,OPENSTREETMAP,PROGANNCSU
7416,2,1,ORSENIGO MADRE CAROLINA,,0,MADRE CAROLINA ORSENIGO,MADRE CAROLINA ORSENIGO,MADRE CAROLINA ORSENIGO,
7417,2,1,VAL FORMAZZA,,0,VAL FORMAZZA,VAL FORMAZZA,VAL FORMAZZA,
7418,2,1,MONTAGNANI MARELLI PIERO,19911122,0,PIERO MONTAGNANI MARELLI,PIERO MONTAGNANI MARELLI,PIERO MONTAGNANI MARELLI,
7419,2,1,BRIVIO,,0,BRIVIO,BRIVIO,BRIVIO,
7420,2,1,GALLARATE,,0,GALLARATE,GALLARATE,GALLARATE,
7421,2,1,GIORGINI GIOVANNI BATTISTA,19280518,0,GIOVANNI BATTISTA GIORGINI,GIOVANNI BATTISTA GIORGINI,GIOVANNI BATTISTA GIORGINI,
7422,2,1,CORMONS,19280512,0,CORMONS,CORMONS,CORMONS,
7423,2,1,GADAMES,19280518,0,GADAMES,GADAMES,GADAMES,
7424,2,1,GRADISCA,19280518,0,GRADISCA,GRADISCA,GRADISCA,
7425,2,1,BRESSANONE,19280518,0,BRESSANONE,BRESSANONE,BRESSANONE,
7426,2,1,CAPODISTRIA,19280518,0,CAPODISTRIA,CAPODISTRIA,CAPODISTRIA,
7427,2,1,TIBULLO ALBIO,,0,ALBIO TIBULLO,ALBIO TIBULLO,TIBULLO,
7428,2,1,CATULLO,,0,CATULLO,CATULLO,CATULLO,
7429,2,1,GIANNINI GIUSEPPE,19280518,0,GIUSEPPE GIANNINI,GIUSEPPE GIANNINI,GIUSEPPE GIANNINI,
7430,2,1,SALERIO PADRE CARLO,,0,PADRE CARLO SALERIO,PADRE CARLO SALERIO,PADRE CARLO SALERIO,
7431,2,1,CIGNOLI (DEI),,0,DEI CIGNOLI,DEI CIGNOLI,DEI CIGNOLI,
7432,2,1,PICO DELLA MIRANDOLA,,0,PICO DELLA MIRANDOLA,PICO DELLA MIRANDOLA,PICO DELLA MIRANDOLA,
7433,2,1,DELLA CASA GIOVANNI,19280512,0,GIOVANNI DELLA CASA,GIOVANNI DELLA CASA,GIOVANNI DELLA CASA,
7434,2,1,CHIABRERA GABRIELLO,19280518,0,GABRIELLO CHIABRERA,GABRIELLO CHIABRERA,GABRIELLO CHIABRERA,
7435,2,1,DE LEMENE FRANCESCO,,0,FRANCESCO DE LEMENE,FRANCESCO DE LEMENE,FRANCESCO DE LEMENE,
7436,2,1,SOMALIA,,0,SOMALIA,SOMALIA,SOMALIA,
7437,3,1,VIGORELLI (F.LLI),19660108,2017,FRATELLI VIGORELLI,FRATELLI VIGORELLI,,
7438,2,1,FALCK ENRICO,19660107,0,ENRICO FALCK,ENRICO FALCK,ENRICO FALCK,
7439,2,1,CEFALONIA,,0,CEFALONIA,CEFALONIA,CEFALONIA,
7440,2,1,PARETO VILFREDO,,0,VILFREDO PARETO,VILFREDO PARETO,VILFREDO PARETO,
